AR;ARMA;MLP;RBF;ELM;ESN;Mediana (ML);Mediana (RNAs);Mediana (RNAs sem RBF);Mediana (MU);Mediana (MU sem RBF);Mediana (todos);Média (ML);Média (RNAs);Média (RNAs sem RBF);Média (MU);Média (MU sem RBF);Média (todas)
2;1;20;26;11;5;9;15;3;7;4;12;9;21;8;17;5;19
2;1;21;26;8;8;6;17;3;5;4;14;6;20;11;18;10;19
12;7;21;26;5;2;9;18;11;14;12;6;9;24;16;20;15;17
11;3;20;26;5;1;6;17;3;13;6;9;6;22;16;19;14;18
23;21;17;26;9;7;5;11;1;3;2;10;5;19;8;13;4;12
22;21;19;26;3;1;7;15;2;6;5;4;7;20;12;17;10;9
10;5;23;26;4;1;8;17;6;12;7;15;8;24;14;20;13;16
8;3;21;26;2;1;6;16;3;8;3;14;6;22;13;18;10;15
2;1;18;24;13;14;6;10;12;4;5;15;6;9;11;3;8;16
3;1;18;24;11;13;5;9;7;2;4;15;5;14;12;10;8;16
9;4;23;26;16;1;5;19;17;10;7;12;5;13;3;8;2;11
10;2;23;24;14;1;7;12;13;5;5;15;7;11;9;4;3;16
7;1;17;20;9;4;2;13;8;6;5;19;2;14;11;12;10;18
8;1;17;20;3;2;3;13;7;9;6;19;3;14;11;12;10;18
9;8;19;26;1;3;6;14;2;5;4;18;6;16;11;15;10;17
9;6;17;25;1;2;7;12;3;5;4;19;7;16;11;13;10;18
12;11;20;26;5;2;6;13;1;4;3;10;6;21;9;17;8;15
11;10;20;26;4;2;6;16;1;4;3;8;6;21;12;19;9;13
8;5;20;26;1;2;6;18;3;9;4;11;6;21;15;19;13;17
9;5;20;26;2;1;6;16;3;6;4;10;6;21;12;19;11;15
